"Date","Approve","Disapprove"
2017-10-30,41.3333333333333,55.6666666666667
2017-10-31,37.7727272727273,58.1363636363636
2017-11-01,40.6666666666667,54.5
2017-11-02,39.6,57.6
2017-11-03,37.3544444444444,58.8255555555556
2017-11-04,39,56
2017-11-05,37.3333333333333,58
2017-11-06,38.75,56.75
2017-11-07,37.1454545454545,58.9272727272727
2017-11-08,39.25,55.25
2017-11-09,38.9666666666667,57.4111111111111
2017-11-10,39.7733333333333,53.3033333333333
2017-11-11,38,57
2017-11-12,39,55
2017-11-13,42,54.5
2017-11-14,38.0625,57.41875
2017-11-15,39,55.4
2017-11-16,45.3636363636364,51.5454545454545
2017-11-17,38.3711111111111,56.7055555555556
2017-11-18,39,56
2017-11-19,39.5,58
2017-11-20,39.5,57
2017-11-21,38.6071428571429,57.1785714285714
2017-11-22,40.095,52.9433333333333
2017-11-23,38,55
2017-11-25,38,55
2017-11-26,37,57
2017-11-27,40,56
2017-11-28,37.775,58.2625
2017-11-29,39.5076923076923,56.1384615384615
2017-11-30,38.464,56.85
2017-12-01,38.875,57.275
2017-12-02,33,62
2017-12-03,34,61
2017-12-04,38.5,58
2017-12-05,39.0769230769231,56.6
2017-12-06,39.1171428571429,54.0257142857143
2017-12-07,37.5714285714286,58.8571428571429
2017-12-08,40,57
2017-12-09,37,58
2017-12-10,37.9428571428571,58.6571428571429
2017-12-11,38.5,58
2017-12-12,37.3071428571429,58.4714285714286
2017-12-13,37.4285714285714,56.4285714285714
2017-12-14,39.8,57.6
2017-12-15,35.467,59.998
2017-12-16,34,61
2017-12-17,38,58
2017-12-18,38.5,56.25
2017-12-19,37.0857142857143,59.2857142857143
2017-12-20,39.0866666666667,54.5966666666667
2017-12-21,37.3333333333333,58.6666666666667
2017-12-22,40,57
2017-12-23,38,57
2017-12-24,39,55
2017-12-26,37.5357142857143,58.6357142857143
2017-12-27,41.5,54.5
2017-12-28,41.25,53.5
2017-12-29,38.7888888888889,56.9111111111111
2017-12-30,38,56
2017-12-31,40,55
2018-01-02,39.95,55.65
2018-01-03,41.6666666666667,53.3333333333333
2018-01-04,44,53.5
2018-01-05,41.0727272727273,53.9163636363636
2018-01-08,37.4,52
2018-01-09,43,56
2018-01-10,41.7076923076923,53.9846153846154
2018-01-11,40,55.5
2018-01-12,41.1011111111111,54.1722222222222
2018-01-15,43.3333333333333,54
2018-01-16,42.6545454545455,53.4727272727273
2018-01-17,41.75,53.25
2018-01-18,41.1111111111111,55
2018-01-19,39.3166666666667,55.2583333333333
2018-01-21,40,57
2018-01-22,39,56.8
2018-01-23,38.54,58.47
2018-01-24,41.375,54
2018-01-25,41,56
2018-01-26,38.9375,57.9125
2018-01-29,40.5,57
2018-01-30,39.8555555555556,56.8888888888889
2018-01-31,42.6,51.2
2018-02-01,45,53.75
2018-02-02,43.0125,52.8125
2018-02-03,45,54
2018-02-05,44.5,53
2018-02-06,41.49,54.01
2018-02-07,43.25,52.75
2018-02-08,45.6666666666667,52.6666666666667
2018-02-09,42.4,53.3333333333333
2018-02-12,44,53.5
2018-02-13,42.46,53.56
2018-02-14,44.7142857142857,50.7142857142857
2018-02-15,45,53.6666666666667
2018-02-16,41.5857142857143,53.8857142857143
2018-02-19,42,55.5
2018-02-20,41.7666666666667,53.9333333333333
2018-02-21,42.2,55
2018-02-22,43.8,52.2
2018-02-23,41.54,54.41
2018-02-25,36.25,58.8
2018-02-26,43.6666666666667,52.3333333333333
2018-02-27,42.84,53.54
2018-02-28,36.5757575757576,62.4272727272727
2018-03-01,44.6,53.1
2018-03-02,41.2142857142857,55.6857142857143
2018-03-05,42,54.5
2018-03-06,41.7555555555556,53.9444444444444
2018-03-07,41,53.4285714285714
2018-03-08,43.3333333333333,53.3333333333333
2018-03-09,41.6125,53.9875
2018-03-12,42.3333333333333,54.6666666666667
2018-03-13,41.4090909090909,54.5454545454545
2018-03-14,43,52.5
2018-03-15,43.75,53.5
2018-03-16,40.4285714285714,56.1285714285714
2018-03-18,43,53
2018-03-19,45,51.75
2018-03-20,40.8666666666667,55.3555555555556
2018-03-21,41.7142857142857,53
2018-03-22,47,52
2018-03-23,42.05,53.9166666666667
2018-03-25,45,52
2018-03-26,42.8333333333333,54.5
2018-03-27,40.0666666666667,55.9333333333333
2018-03-28,41.75,52.25
2018-03-29,44.6666666666667,54
2018-03-30,41.8142857142857,54.9142857142857
2018-04-02,42.75,54
2018-04-03,41.1444444444444,55.6666666666667
2018-04-04,43,52.25
2018-04-05,45,53.3333333333333
2018-04-06,39.8571428571429,55.9285714285714
2018-04-09,42.3333333333333,56
2018-04-10,44.5,51.5
2018-04-11,40.6142857142857,55.0642857142857
2018-04-12,44.75,52.75
2018-04-13,41.3285714285714,55.5428571428571
2018-04-15,39.5,56.5
2018-04-16,44.6666666666667,52.3333333333333
2018-04-17,41.8444444444444,55.7444444444444
2018-04-18,41.4285714285714,53.5714285714286
2018-04-19,46,52.6666666666667
2018-04-20,40.8875,56.25
2018-04-23,41.3333333333333,54.3333333333333
2018-04-24,41.1090909090909,54.6727272727273
2018-04-25,42.8571428571429,52.2857142857143
2018-04-26,44.2,54.6
2018-04-27,40.8142857142857,55.3428571428571
2018-04-30,44.5,52.5
2018-05-01,43.2636363636364,52.4545454545455
2018-05-02,43.75,51.25
2018-05-03,45.25,52
2018-05-04,51,49
2018-05-05,48.6,49.0166666666667
2018-05-07,42.8,52.2
2018-05-08,43.5,53
2018-05-09,43.75,50.25
2018-05-10,45.2083333333333,52.3416666666667
2018-05-11,49,49
2018-05-12,44.4166666666667,53.4
2018-05-14,40.65,50.6
2018-05-15,45.3,52.3777777777778
2018-05-16,43.5,51
2018-05-17,46.6666666666667,51.6666666666667
2018-05-18,44.525,53.1125
2018-05-21,41.75,53.25
2018-05-22,45.0777777777778,52.8111111111111
2018-05-23,43.8333333333333,51.5
2018-05-24,46.25,52.5
2018-05-25,45,49.5
2018-05-26,45.575,52.65
2018-05-28,44.5,52.5
2018-05-29,42.4,51.6
2018-05-30,43.6666666666667,50.6666666666667
2018-05-31,43.1583333333333,53.7
2018-06-01,48,50
2018-06-02,40.8166666666667,54.95
2018-06-04,41.8333333333333,53.3333333333333
2018-06-05,42.3818181818182,53.9181818181818
2018-06-06,43.5,51.5
2018-06-07,43.7142857142857,52.1428571428571
2018-06-08,43.5,51.5
2018-06-09,39.3833333333333,56.1833333333333
2018-06-11,42.5,51.6666666666667
2018-06-12,41.6222222222222,54.5666666666667
2018-06-13,44,50.8
2018-06-14,45.5857142857143,49.9428571428571
